EPVR,OURR,TSR,URR,VURR,avg_added_calls,avg_added_latency,avg_agent_calls,avg_latency,avg_residual_risk,avg_tool_calls,method,repair_auc,repair_f1,repair_pr_auc,repair_precision,repair_rate,repair_recall,repair_selection_change_rate,risk_reduction,risk_reduction_per_added_latency,severity
0.3333333333333333,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.6666666666666666,1205.669298604503,0.0,5.333333333333333,react,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,minor
0.6666666666666666,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.6666666666666666,1208.7657122249857,0.0,5.333333333333333,react,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,normal
0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,1212.1746968474708,0.0,5.333333333333333,react,0.575600565237871,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,critical
0.0,0.0,0.8333333333333334,0.0,0.0,0.0,0.0,0.5,1200.0569934656637,0.0,5.833333333333333,schema_aware,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,minor
1.0,0.0,0.8333333333333334,0.0,0.0,0.0,0.0,0.5,1204.74183100699,0.0,5.833333333333333,schema_aware,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,normal
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1210.6548273319124,0.0,5.833333333333333,schema_aware,0.575600565237871,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,critical
0.837037037037037,1.0,1.0,0.0,0.0,0.762962962962963,82.77777777777777,0.6666666666666666,1584.316748327058,0.0391111111111111,7.659259259259259,strict,0.0,0.0,0.0,0.0,1.0,0.0,0.1456953642384106,0.1618456790123457,0.0031553260525482747,minor
0.8277777777777777,1.0,1.0,0.0,0.0,0.17222222222222222,10.333333333333334,0.6666666666666666,1505.4565459943244,0.04133333333333333,7.1,strict,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.09644444444444446,0.0016074074074074074,normal
0.8333333333333334,0.0,0.7148148148148148,0.0,0.0,0.7851851851851852,82.31481481481481,0.6666666666666666,1585.7137010169008,0.043770061728395065,7.625925925925926,strict,0.89334499697194,0.8336933045356372,0.9598752795704959,0.7148148148148148,1.0,1.0,0.2088607594936709,0.19967129629629632,0.00366218740107629,critical
0.6370370370370371,1.0,1.0,0.0,0.0,0.562962962962963,49.44444444444444,0.6666666666666666,1546.156774509086,0.04148765432098765,7.45925925925926,proposed,0.0,0.0,0.0,0.0,0.562962962962963,0.0,0.1456953642384106,0.15946913580246913,0.0031381133270022158,minor
0.8277777777777777,1.0,1.0,0.0,0.0,0.17222222222222222,10.333333333333334,0.6666666666666666,1505.4565459943244,0.04133333333333333,7.1,proposed,0.0,0.0,0.0,0.0,0.17222222222222222,0.0,0.0,0.09644444444444446,0.0016074074074074074,normal
0.8333333333333334,0.0,0.7148148148148148,0.0,0.0,0.7851851851851852,82.31481481481481,0.6666666666666666,1585.7137010169008,0.043770061728395065,7.625925925925926,proposed,0.89334499697194,0.9530864197530864,0.9598752795704959,0.910377358490566,0.7851851851851852,1.0,0.2088607594936709,0.19967129629629632,0.00366218740107629,critical
