EPVR,OURR,TSR,URR,VURR,avg_added_calls,avg_added_latency,avg_agent_calls,avg_latency,avg_residual_risk,avg_tool_calls,family,method,repair_auc,repair_f1,repair_pr_auc,repair_precision,repair_rate,repair_recall,repair_selection_change_rate,risk_reduction,risk_reduction_per_added_latency
1.0,0.0,0.7,0.0,0.0,0.0,0.0,0.0,739.2113379280709,0.0,5.0,F1,react,0.55078125,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0.4,0.0,0.7,0.0,0.0,0.0,0.0,1.0,1604.8672803618306,0.0,6.0,F2,react,0.5388888888888889,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.7,0.0,0.0,0.0,0.0,0.0,736.7711982127323,0.0,5.0,F3,react,0.4845679012345679,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0.4,0.0,0.7,0.0,0.0,0.0,0.0,1.0,1446.0561349811528,0.0,6.0,F4,react,0.55924317617866,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1365.3885322567173,0.0,5.0,F5,react,0.508150402086503,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1360.862417413015,0.0,5.0,F6,react,0.5005555555555555,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0.4,0.0,0.7,0.0,0.0,0.0,0.0,0.0,739.2113379280709,0.0,5.0,F1,schema_aware,0.55078125,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0.4,0.0,0.7,0.0,0.0,0.0,0.0,1.0,1604.8672803618306,0.0,6.0,F2,schema_aware,0.5388888888888889,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0.4,0.0,0.7,0.0,0.0,0.0,0.0,0.0,736.7711982127323,0.0,5.0,F3,schema_aware,0.4845679012345679,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0.4,0.0,0.7,0.0,0.0,0.0,0.0,1.0,1446.0561349811528,0.0,6.0,F4,schema_aware,0.55924317617866,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0.4,0.0,0.7,0.0,0.0,0.0,0.0,0.0,736.9513043947517,0.0,5.0,F5,schema_aware,0.508150402086503,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0.4,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1966.8044159738743,0.0,8.0,F6,schema_aware,0.5005555555555555,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.5094339622641509,0.8466666666666667,0.0,0.0,0.35333333333333333,47.2,0.0,856.5645522653003,0.0,6.013333333333334,F1,strict,0.9250710227272727,0.2558139534883721,0.8324836750045952,0.14666666666666667,1.0,1.0,0.22857142857142856,0.049513888888888885,0.0007756809548476215
1.0,0.43548387096774194,0.9,0.0,0.0,0.41333333333333333,49.733333333333334,1.0,1810.434897765237,0.0,7.42,F2,strict,0.9113888888888889,0.33333333333333337,0.8491564340176034,0.2,1.0,1.0,0.1951219512195122,0.06976388888888889,0.0013640631744798412
1.0,0.5,0.98,0.0,0.0,0.6,71.06666666666666,0.0,956.3865837940946,0.0,6.273333333333333,F3,strict,0.8055555555555556,0.43750000000000006,0.6788143344491189,0.28,1.0,1.0,0.30158730158730157,0.08583333333333333,0.0019820502028835363
1.0,0.5,0.8733333333333333,0.0,0.0,0.4,51.1,1.0,1628.7155639646037,0.0,7.06,F4,strict,0.874379652605459,0.29545454545454547,0.6667031905408074,0.17333333333333334,1.0,1.0,0.2727272727272727,0.056749999999999995,0.001075880600880601
0.32666666666666666,0.6590909090909091,0.9866666666666667,0.0,0.0,0.88,58.766666666666666,1.0,1930.3763889900617,0.16644722222222222,8.22,F5,strict,0.5822647250597696,0.4455958549222798,0.8157640294141022,0.2866666666666667,1.0,1.0,0.034782608695652174,0.40038611111111116,0.007110802037468705
0.6666666666666666,0.6265060240963856,0.9,0.0,0.0,0.5533333333333333,44.1,1.0,2136.6725324262075,0.0819388888888889,9.566666666666666,F6,strict,0.7186111111111111,0.33333333333333337,0.5987246951391237,0.2,1.0,1.0,0.0547945205479452,0.21995,0.0038208250237416904
0.92,0.36585365853658536,0.8466666666666667,0.0,0.0,0.2733333333333333,34.4,0.0,842.1891943414971,0.0011111111111111113,5.933333333333334,F1,proposed,0.9250710227272727,0.6984126984126985,0.8324836750045952,0.5365853658536586,0.2733333333333333,1.0,0.22857142857142856,0.048402777777777774,0.0007674835966502633
0.9533333333333334,0.36363636363636365,0.9,0.0,0.0,0.36666666666666664,41.86666666666667,1.0,1803.0814279474303,0.0005277777777777778,7.373333333333333,F2,proposed,0.9113888888888889,0.7058823529411764,0.8491564340176034,0.5454545454545454,0.36666666666666664,1.0,0.1951219512195122,0.06923611111111111,0.00136026558318225
0.9066666666666666,0.40789473684210525,0.98,0.0,0.0,0.5066666666666667,54.733333333333334,0.0,936.5823644551139,0.0009722222222222223,6.18,F3,proposed,0.8055555555555556,0.711864406779661,0.6788143344491189,0.5526315789473685,0.5066666666666667,1.0,0.30158730158730157,0.08486111111111111,0.001975183458516792
0.9333333333333333,0.4,0.8733333333333333,0.0,0.0,0.3333333333333333,40.03333333333333,1.0,1615.4380518429227,0.0007777777777777778,6.993333333333333,F4,proposed,0.874379652605459,0.6842105263157895,0.6667031905408074,0.52,0.3333333333333333,1.0,0.2727272727272727,0.05597222222222223,0.0010702473452473453
0.28,0.64,0.9866666666666667,0.0,0.0,0.8333333333333334,50.9,1.0,1921.0313313372806,0.166975,8.173333333333334,F5,proposed,0.5822647250597696,0.5119047619047619,0.8157640294141022,0.344,0.8333333333333334,1.0,0.034782608695652174,0.39985833333333337,0.007107004446171114
0.64,0.6075949367088608,0.9,0.0,0.0,0.5266666666666666,40.03333333333333,1.0,2132.140196408911,0.0823,9.54,F6,proposed,0.7186111111111111,0.5504587155963303,0.5987246951391237,0.379746835443038,0.5266666666666666,1.0,0.0547945205479452,0.2195888888888889,0.003818134658551326
