EPVR,TSR,URR,avg_agent_calls,avg_latency,avg_residual_risk,avg_tool_calls,method,repair_f1,repair_precision,repair_recall,severity
0.0,0.2222222222222222,0.0,0.6666666666666666,1383.4472236239371,0.0,6.166666666666667,react,0.0,0.0,0.0,minor
0.8333333333333334,0.8333333333333334,0.0,0.6666666666666666,1371.2153602440242,0.0,6.166666666666667,react,0.0,0.0,0.0,normal
0.0,0.0,0.0,0.6666666666666666,1384.408868804722,0.0,6.166666666666667,react,0.0,0.0,0.0,critical
0.0,0.2222222222222222,0.0,0.6666666666666666,1383.4472236239371,0.0,6.166666666666667,schema_aware,0.0,0.0,0.0,minor
0.8333333333333334,0.8333333333333334,0.0,0.6666666666666666,1371.2153602440242,0.0,6.166666666666667,schema_aware,0.0,0.0,0.0,normal
0.0,0.0,0.0,0.6666666666666666,1384.408868804722,0.0,6.166666666666667,schema_aware,0.0,0.0,0.0,critical
0.8333333333333334,0.8333333333333334,0.0,0.6666666666666666,1593.1413473508949,0.03666666666666667,7.166666666666667,strict,0.7586206896551725,0.6111111111111112,1.0,minor
0.8333333333333334,0.8333333333333334,0.0,0.6666666666666666,1458.934321825153,0.02,6.666666666666667,strict,0.0,0.0,0.0,normal
0.8333333333333334,0.8333333333333334,0.0,0.6666666666666666,1590.5579115024966,0.03666666666666667,7.166666666666667,strict,0.9090909090909091,0.8333333333333334,1.0,critical
0.6111111111111112,0.8333333333333334,0.0,0.6666666666666666,1544.3136531096088,0.03775462962962964,6.944444444444445,proposed,0.88,0.7857142857142857,1.0,minor
0.8333333333333334,0.8333333333333334,0.0,0.6666666666666666,1458.934321825153,0.02,6.666666666666667,proposed,0.0,0.0,0.0,normal
0.6888888888888889,0.6888888888888889,0.0,0.6666666666666666,1554.5912280262924,0.040428240740740744,7.022222222222222,proposed,0.8920863309352518,0.8051948051948052,1.0,critical
